Tenant,Event,Time(EST),Store Type,User Name
healthpalace,Order Import Started, 5 Jun 2017 13:19:13 PM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 5 Jun 2017 14:24:05 PM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 6 Jun 2017 10:45:59 AM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 6 Jun 2017 13:48:02 PM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 7 Jun 2017 10:42:04 AM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 7 Jun 2017 13:18:26 PM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 7 Jun 2017 14:03:17 PM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 8 Jun 2017 09:53:18 AM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 8 Jun 2017 11:57:00 AM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 8 Jun 2017 12:54:49 PM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 9 Jun 2017 09:51:51 AM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 9 Jun 2017 12:58:42 PM,Shipstation API 2,Staff1
healthpalace,Order Import Started, 9 Jun 2017 14:00:02 PM,Shipstation API 2,Staff1
luckypremiumtreats,Order Import Started, 5 Jun 2017 09:34:14 AM,,shipping
cfdist,Order Import Started, 5 Jun 2017 12:45:05 PM,,cfdistributing2
cfdist,Order Import Started, 5 Jun 2017 13:43:53 PM,,cfdistributing1
cfdist,Order Import Started, 5 Jun 2017 17:29:35 PM,,cfdistributing2
cfdist,Order Import Started, 5 Jun 2017 18:34:24 PM,,cfdistributing1
cfdist,Order Import Started, 5 Jun 2017 18:57:56 PM,,cfdistributing2
cfdist,Order Import Started, 6 Jun 2017 14:28:43 PM,,cfdistributing1
cfdist,Order Import Started, 6 Jun 2017 16:38:35 PM,,cfdistributing1
cfdist,Order Import Started, 6 Jun 2017 16:45:23 PM,,cfdistributing1
cfdist,Order Import Started, 6 Jun 2017 17:12:47 PM,,cfdistributing1
cfdist,Order Import Started, 6 Jun 2017 18:05:50 PM,,cfdistributing1
cfdist,Order Import Started, 6 Jun 2017 19:10:46 PM,,cfdistributing1
cfdist,Order Import Started, 7 Jun 2017 14:30:22 PM,,cfdistributing1
cfdist,Order Import Started, 7 Jun 2017 19:14:32 PM,,cfdistributing1
cfdist,Order Import Started, 7 Jun 2017 19:27:32 PM,,cfdistributing2
cfdist,Order Import Started, 8 Jun 2017 13:04:35 PM,,cfdistributing2
cfdist,Order Import Started, 8 Jun 2017 16:47:18 PM,,cfdistributing2
cfdist,Order Import Started, 8 Jun 2017 18:50:40 PM,,cfdistributing2
cfdist,Order Import Started, 9 Jun 2017 11:41:32 AM,,cfdistributing1
cfdist,Order Import Started, 9 Jun 2017 16:11:17 PM,,cfdistributing1
cfdist,Order Import Started, 9 Jun 2017 17:35:30 PM,,cfdistributing1
ewholesaler,Order Import Canceled, 5 Jun 2017 08:24:45 AM,,Shipping3
ewholesaler,Order Import Started, 5 Jun 2017 08:24:47 AM,Shipstation API 2,Shipping3
ewholesaler,Order Import Started, 5 Jun 2017 08:24:47 AM,Shipstation API 2,Shipping3
ewholesaler,Order Import Started, 5 Jun 2017 14:18:31 PM,,Shipping1
ewholesaler,Order Import Started, 6 Jun 2017 07:56:10 AM,Shipstation API 2,Shipping2
ewholesaler,Order Import Started, 6 Jun 2017 13:30:13 PM,Shipstation API 2,Shipping1
ewholesaler,Order Import Started, 6 Jun 2017 14:01:16 PM,,Shipping1
ewholesaler,Order Import Canceled, 7 Jun 2017 07:34:28 AM,,Shipping2
ewholesaler,Order Import Started, 7 Jun 2017 07:35:10 AM,,Shipping2
ewholesaler,Order Import Started, 7 Jun 2017 13:37:05 PM,,Shipping2
ewholesaler,Order Import Canceled, 7 Jun 2017 13:40:45 PM,,Shipping2
ewholesaler,Order Import Started, 8 Jun 2017 07:59:21 AM,,Shipping2
ewholesaler,Order Import Started, 8 Jun 2017 13:37:50 PM,,Shipping2
ewholesaler,Order Import Started, 9 Jun 2017 07:30:41 AM,,Shipping3
ewholesaler,Order Import Started, 9 Jun 2017 13:59:58 PM,,Shipping2
ewholesaler,Order Import Started,10 Jun 2017 08:57:04 AM,,Shipping1
ewholesaler,Order Import Started,10 Jun 2017 09:01:19 AM,,Shipping2
gp50,Order Import Started, 5 Jun 2017 19:00:42 PM,,
gp50,Order Import Started, 5 Jun 2017 19:00:40 PM,,
gp50,Order Import Started, 5 Jun 2017 20:00:31 PM,,
gp50,Order Import Started, 5 Jun 2017 20:00:49 PM,,
gp50,Order Import Started, 5 Jun 2017 21:00:30 PM,,
gp50,Order Import Started, 5 Jun 2017 21:00:41 PM,,
gp50,Order Import Started, 5 Jun 2017 22:00:44 PM,,
gp50,Order Import Started, 5 Jun 2017 22:00:49 PM,,
gp50,Order Import Started, 5 Jun 2017 23:00:30 PM,,
gp50,Order Import Started, 5 Jun 2017 23:00:41 PM,,
gp50,Order Import Started, 6 Jun 2017 00:00:35 AM,,
gp50,Order Import Started, 6 Jun 2017 00:00:39 AM,,
gp50,Order Import Started, 6 Jun 2017 01:00:35 AM,,
gp50,Order Import Started, 6 Jun 2017 01:00:41 AM,,
gp50,Order Import Started, 6 Jun 2017 02:00:38 AM,,
gp50,Order Import Started, 6 Jun 2017 02:00:39 AM,,
gp50,Order Import Started, 6 Jun 2017 03:00:42 AM,,
gp50,Order Import Started, 6 Jun 2017 03:00:41 AM,,
gp50,Order Import Started, 6 Jun 2017 04:00:35 AM,,
gp50,Order Import Started, 6 Jun 2017 04:00:39 AM,,
gp50,Order Import Started, 6 Jun 2017 05:00:40 AM,,
gp50,Order Import Started, 6 Jun 2017 05:00:39 AM,,
gp50,Order Import Started, 6 Jun 2017 06:00:37 AM,,
gp50,Order Import Started, 6 Jun 2017 06:00:39 AM,,
gp50,Order Import Started, 6 Jun 2017 07:00:36 AM,,
gp50,Order Import Started, 6 Jun 2017 07:00:39 AM,,
gp50,Order Import Started, 6 Jun 2017 08:00:40 AM,,
gp50,Order Import Started, 6 Jun 2017 08:00:42 AM,,
gp50,Order Import Started, 6 Jun 2017 09:00:28 AM,,
gp50,Order Import Started, 6 Jun 2017 09:00:41 AM,,
gp50,Order Import Started, 6 Jun 2017 10:00:33 AM,,
gp50,Order Import Started, 6 Jun 2017 10:00:39 AM,,
gp50,Order Import Started, 6 Jun 2017 11:00:28 AM,,
gp50,Order Import Started, 6 Jun 2017 11:00:42 AM,,
gp50,Order Import Started, 6 Jun 2017 12:00:31 PM,,
gp50,Order Import Started, 6 Jun 2017 12:00:40 PM,,
gp50,Order Import Started, 6 Jun 2017 13:00:33 PM,,
gp50,Order Import Started, 6 Jun 2017 13:00:39 PM,,
gp50,Order Import Started, 6 Jun 2017 14:00:32 PM,,
gp50,Order Import Started, 6 Jun 2017 14:00:40 PM,,
gp50,Order Import Started, 6 Jun 2017 15:00:30 PM,,
gp50,Order Import Started, 6 Jun 2017 15:00:39 PM,,
gp50,Order Import Started, 6 Jun 2017 16:00:28 PM,,
gp50,Order Import Started, 6 Jun 2017 16:00:39 PM,,
gp50,Order Import Started, 6 Jun 2017 17:00:28 PM,,
gp50,Order Import Started, 6 Jun 2017 17:00:40 PM,,
gp50,Order Import Started, 6 Jun 2017 18:00:40 PM,,
gp50,Order Import Started, 6 Jun 2017 19:00:43 PM,,
gp50,Order Import Started, 6 Jun 2017 19:00:43 PM,,
gp50,Order Import Started, 6 Jun 2017 20:00:33 PM,,
gp50,Order Import Started, 6 Jun 2017 20:00:46 PM,,
gp50,Order Import Started, 6 Jun 2017 21:00:31 PM,,
gp50,Order Import Started, 6 Jun 2017 21:00:39 PM,,
gp50,Order Import Started, 6 Jun 2017 22:00:34 PM,,
gp50,Order Import Started, 6 Jun 2017 22:00:47 PM,,
gp50,Order Import Started, 6 Jun 2017 23:00:28 PM,,
gp50,Order Import Started, 6 Jun 2017 23:00:41 PM,,
gp50,Order Import Started, 7 Jun 2017 00:00:34 AM,,
gp50,Order Import Started, 7 Jun 2017 00:00:39 AM,,
gp50,Order Import Started, 7 Jun 2017 01:00:36 AM,,
gp50,Order Import Started, 7 Jun 2017 01:00:41 AM,,
gp50,Order Import Started, 7 Jun 2017 02:00:33 AM,,
gp50,Order Import Started, 7 Jun 2017 02:00:39 AM,,
gp50,Order Import Started, 7 Jun 2017 03:00:33 AM,,
gp50,Order Import Started, 7 Jun 2017 03:00:43 AM,,
gp50,Order Import Started, 7 Jun 2017 04:00:45 AM,,
gp50,Order Import Started, 7 Jun 2017 05:00:39 AM,,
gp50,Order Import Started, 7 Jun 2017 05:00:42 AM,,
gp50,Order Import Started, 7 Jun 2017 06:00:36 AM,,
gp50,Order Import Started, 7 Jun 2017 06:00:40 AM,,
gp50,Order Import Started, 7 Jun 2017 07:00:36 AM,,
gp50,Order Import Started, 7 Jun 2017 07:00:40 AM,,
gp50,Order Import Started, 7 Jun 2017 08:00:30 AM,,
gp50,Order Import Started, 7 Jun 2017 08:00:43 AM,,
gp50,Order Import Started, 7 Jun 2017 09:00:36 AM,,
gp50,Order Import Started, 7 Jun 2017 09:00:41 AM,,
gp50,Order Import Started, 7 Jun 2017 10:00:32 AM,,
gp50,Order Import Started, 7 Jun 2017 10:00:41 AM,,
gp50,Order Import Started, 7 Jun 2017 11:00:30 AM,,
gp50,Order Import Started, 7 Jun 2017 11:00:39 AM,,
gp50,Order Import Started, 7 Jun 2017 12:00:30 PM,,
gp50,Order Import Started, 7 Jun 2017 12:00:39 PM,,
gp50,Order Import Started, 7 Jun 2017 13:00:28 PM,,
gp50,Order Import Started, 7 Jun 2017 13:00:39 PM,,
gp50,Order Import Started, 7 Jun 2017 14:00:29 PM,,
gp50,Order Import Started, 7 Jun 2017 14:00:38 PM,,
gp50,Order Import Started, 7 Jun 2017 15:00:30 PM,,
gp50,Order Import Started, 7 Jun 2017 15:00:39 PM,,
gp50,Order Import Started, 7 Jun 2017 16:00:31 PM,,
gp50,Order Import Started, 7 Jun 2017 16:00:38 PM,,
gp50,Order Import Started, 7 Jun 2017 17:00:29 PM,,
gp50,Order Import Started, 7 Jun 2017 17:00:39 PM,,
gp50,Order Import Started, 7 Jun 2017 18:00:29 PM,,
gp50,Order Import Started, 7 Jun 2017 18:00:39 PM,,
gp50,Order Import Started, 7 Jun 2017 19:00:39 PM,,
gp50,Order Import Started, 7 Jun 2017 19:00:41 PM,,
gp50,Order Import Started, 7 Jun 2017 20:00:27 PM,,
gp50,Order Import Started, 7 Jun 2017 20:00:50 PM,,
gp50,Order Import Started, 7 Jun 2017 21:00:31 PM,,
gp50,Order Import Started, 7 Jun 2017 21:00:38 PM,,
gp50,Order Import Started, 7 Jun 2017 22:00:35 PM,,
gp50,Order Import Started, 7 Jun 2017 22:00:45 PM,,
gp50,Order Import Started, 7 Jun 2017 23:00:27 PM,,
gp50,Order Import Started, 7 Jun 2017 23:00:38 PM,,
gp50,Order Import Started, 8 Jun 2017 00:00:34 AM,,
gp50,Order Import Started, 8 Jun 2017 00:00:40 AM,,
gp50,Order Import Started, 8 Jun 2017 00:54:58 AM,,gp50
gp50,Order Import Started, 8 Jun 2017 00:56:09 AM,,gp50
gp50,Order Import Started, 8 Jun 2017 00:57:10 AM,,gp50
gp50,Order Import Started, 8 Jun 2017 00:58:26 AM,,gp50
gp50,Order Import Started, 8 Jun 2017 01:00:35 AM,,
gp50,Order Import Started, 8 Jun 2017 01:00:39 AM,,
gp50,Order Import Started, 8 Jun 2017 02:00:33 AM,,
gp50,Order Import Started, 8 Jun 2017 02:00:40 AM,,
gp50,Order Import Started, 8 Jun 2017 03:00:43 AM,,
gp50,Order Import Started, 8 Jun 2017 03:00:38 AM,,
gp50,Order Import Started, 8 Jun 2017 04:00:44 AM,,
gp50,Order Import Started, 8 Jun 2017 04:00:41 AM,,
gp50,Order Import Started, 8 Jun 2017 05:00:33 AM,,
gp50,Order Import Started, 8 Jun 2017 05:00:41 AM,,
gp50,Order Import Started, 8 Jun 2017 06:00:33 AM,,
gp50,Order Import Started, 8 Jun 2017 06:00:41 AM,,
gp50,Order Import Started, 8 Jun 2017 07:00:33 AM,,
gp50,Order Import Started, 8 Jun 2017 07:00:38 AM,,
gp50,Order Import Started, 8 Jun 2017 08:00:27 AM,,
gp50,Order Import Started, 8 Jun 2017 08:00:39 AM,,
gp50,Order Import Started, 8 Jun 2017 09:00:29 AM,,
gp50,Order Import Started, 8 Jun 2017 09:00:39 AM,,
gp50,Order Import Started, 8 Jun 2017 10:00:29 AM,,
gp50,Order Import Started, 8 Jun 2017 10:00:41 AM,,
